Crop,Variety,State,Duration in days,Cost,Quantity,Predicted_Production
Indian Mustard,Pusa Mustard 26 (NPJ-113),Jammu And Kashmir,132,21735.185,99,270.2054795
Indian Mustard,Pusa Mustard 26 (NPJ-113), Punjab,132,21735.185,99,270.2054795
Indian Mustard,Pusa Mustard 26 (NPJ-113), Haryana,132,21735.185,99,270.2054795
Indian Mustard,Pusa Mustard 26 (NPJ-113), Rajasthan,132,21735.185,99,270.2054795
Indian Mustard,Pusa Mustard 26 (NPJ-113), Delhi,132,21735.185,99,270.2054795
Indian Mustard,Pusa Mustard 26 (NPJ-113), Uttar Pradesh,132,21735.185,99,270.2054795
Indian Mustard,Pusa Mustard 27 (EJ-17),Uttar Pradesh,131,22560.3,99,270.2054795
Indian Mustard,Pusa Mustard 27 (EJ-17), Madhya Pradesh,131,21735.185,99,270.2054795
Indian Mustard,Pusa Mustard 27 (EJ-17), Uttarakhand,131,21735.185,99,270.2054795
Indian Mustard,Pusa Mustard 27 (EJ-17), Rajasthan,131,21735.185,99,270.2054795
Indian Mustard,CORAL 432 (PAC 432)(Hybrid),Uttar Pradesh,130,22560.3,99,270.2054795
Indian Mustard,CORAL 432 (PAC 432)(Hybrid), Madhya Pradesh,130,21735.185,99,270.2054795
Indian Mustard,CORAL 432 (PAC 432)(Hybrid), Rajasthan,130,21735.185,99,270.2054795
Indian Mustard,CORAL 432 (PAC 432)(Hybrid), Uttarakhand,130,21735.185,99,270.2054795
Indian Mustard,Pitambari (RYSK-05-02),Uttar Pradesh,113,22560.3,99,270.2054795
Indian Mustard,Pitambari (RYSK-05-02), West Bengal,113,21735.185,99,270.2054795
Indian Mustard,Pitambari (RYSK-05-02), Haryana,113,21735.185,99,270.2054795
Indian Mustard,Pitambari (RYSK-05-02), Bihar,113,21735.185,99,270.2054795
Indian Mustard,Pitambari (RYSK-05-02), Gujarat,113,21735.185,99,270.2054795
Indian Mustard,Pitambari (RYSK-05-02), Uttarakhand,113,21735.185,99,270.2054795
